TxHash,Timestamp,Chain,Asset,TokenName,Direction,From,To,Value,BlockNumber,GasCost
0xb347eafc5658348f0fad5a957f2cb4f0542ae5c6c914f087eaa5a2d81cc0b89c,1706385123,BNB Smart Chain,ETH,Ether,receive,0x50be13b54f3eebbe415d20250598d81280e56772,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0.0995,35619621,0.000000000000000000
0xda0c70e5ad11d4c092633d403a4136f3c54928d729e823c3a91438ef2bb3a58d,1706386021,BNB Smart Chain,ETH,Ether,receive,0x50be13b54f3eebbe415d20250598d81280e56772,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,1.1144838,35619917,0.000000000000000000
0x0f6bf48e64906ac95635a3984a7a5c0f8640a3cbc2cc20a317e1c8b436162002,1708908121,BNB Smart Chain,ETH,Ether,send,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,0.6064919,36459036,0.000421926000000000
0x0f6bf48e64906ac95635a3984a7a5c0f8640a3cbc2cc20a317e1c8b436162002,1708908121,BNB Smart Chain,SFUND,SeedifyFund,receive,0x74fa517715c4ec65ef01d55ad5335f90dce7cc87,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,62.49929534269184,36459036,
0x42fb137053fcf553e58c859a422d565d3c83c27ff91860aa63d0c7b6252d576c,1708908295,BNB Smart Chain,ETH,Ether,send,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,0.605,36459094,0.000413598000000000
0x42fb137053fcf553e58c859a422d565d3c83c27ff91860aa63d0c7b6252d576c,1708908295,BNB Smart Chain,ALU,Altura,receive,0x3c7e7122f4ddcfc5b5c31b5c735ce2ae3b015856,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,3125.524257535309,36459094,
0x715cd2932b1f85f861bd7cc34dc6885cb3a9f2ea833066ee26272c666283fc6e,1708989361,BNB Smart Chain,ETH,Ether,receive,0x50be13b54f3eebbe415d20250598d81280e56772,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0.634864,36486053,0.000000000000000000
0x1098c3ad5ee459e64aef678cbf033020f4a31a4abff3e2b9c6135bcc02e4ef9b,1708992106,BNB Smart Chain,ETH,Ether,send,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,0.317760188,36486965,0.000370626000000000
0x1098c3ad5ee459e64aef678cbf033020f4a31a4abff3e2b9c6135bcc02e4ef9b,1708992106,BNB Smart Chain,SFUND,SeedifyFund,receive,0x74fa517715c4ec65ef01d55ad5335f90dce7cc87,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,33.169467445850536,36486965,
0x5141e401a6d8873da8294324ce892043ee033a37a04dfca96a75b11333d9331e,1708992410,BNB Smart Chain,ETH,Ether,send,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,0.3,36487065,0.000398703000000000
