Token,Amount
Ether (Bnb),0.036122958000000000
Ether (Ethereum),0.012133498973985315
Chickencoin (Ethereum),12263561.025600000000000000
Ethereum Games (Ethereum),2000000.000000000000000000
Up1.org (Ethereum),113054.000000000000000000
VERA (Ethereum),87303.272784379418000000
E T H - B O N U S ˳ N E T (Optimism),49999.999999999990000000
WAGMI GAMES (Ethereum),32395.145933279500000000
Altura (Bnb),6626.984016345233400000
Berry (Ethereum),5000.000000000000000000
Rollbit Coin (Ethereum),4117.857564701068500000
DODO Egg (Ethereum),2000.000000000000000000
ThorShare (Ethereum),1800.398999779932400000
Wilder (Ethereum),1501.112285983978640000
KiCool Token (Ethereum),1250.000000000000000000
DETF token (Ethereum),1152.524540569888800000
GOcoin (Bnb),999.900000000000000000
unshETHing_Token (Ethereum),253.558688544836340000
SeedifyFund (Bnb),95.668762788542376000
Realio Network (Ethereum),59.711762294579910000
MAGA: Fight for Trump (Ethereum),20.000000000000000000
Gramatik (Ethereum),5.000000000000000000
Staked Olympus (Ethereum),-1.989658089000000000
环球股 (Ethereum),1.000000000000000000
DataCenterMining (Bnb),0.100000000000000000
Fantom Token (Ethereum),0.003670303794000000
Wrapped Ether (Ethereum),0.001209132474624000
